date	deviceCategory	sessions
20130812	desktop	27
20130813	desktop	6801
20130814	desktop	3370
20130815	desktop	2302
20130816	desktop	1698
20130817	desktop	1170
20130818	desktop	1092
20130819	desktop	1072
20130820	desktop	1159
20130821	desktop	5408
20130822	desktop	2803
20130823	desktop	1332
20130824	desktop	728
20130825	desktop	797
20130826	desktop	701
20130827	desktop	655
20130828	desktop	644
20130829	desktop	561
20130830	desktop	521
20130831	desktop	426
20130901	desktop	393
20130902	desktop	407
20130903	desktop	370
20130904	desktop	309
20130905	desktop	303
20130906	desktop	324
20130907	desktop	247
20130908	desktop	235
20130909	desktop	294
20130910	desktop	250
20130911	desktop	238
20130912	desktop	301
20130913	desktop	257
20130914	desktop	204
20130915	desktop	221
20130916	desktop	194
20130917	desktop	180
20130918	desktop	177
20130919	desktop	167
20130920	desktop	170
20130921	desktop	156
20130922	desktop	176
20130923	desktop	358
20130924	desktop	217
20130925	desktop	177
20130926	desktop	160
20130927	desktop	152
20130928	desktop	146
20130929	desktop	141
20130930	desktop	169
20131001	desktop	177
20131002	desktop	163
20131003	desktop	151
20131004	desktop	141
20131005	desktop	115
20131006	desktop	117
20131007	desktop	139
20131008	desktop	131
20131009	desktop	136
20131010	desktop	114
20131011	desktop	117
20131012	desktop	126
20131013	desktop	123
20131014	desktop	120
20131015	desktop	115
20131016	desktop	134
20131017	desktop	132
20131018	desktop	157
20131019	desktop	152
20131020	desktop	137
20131021	desktop	167
20131022	desktop	139
20131023	desktop	127
20131024	desktop	139
20131025	desktop	104
20131026	desktop	93
20131027	desktop	82
20131028	desktop	119
20131029	desktop	83
20131030	desktop	99
20131031	desktop	86
20131101	desktop	103
20131102	desktop	75
20131103	desktop	87
20131104	desktop	116
20131105	desktop	149
20131106	desktop	182
20131107	desktop	285
20131108	desktop	250
20131109	desktop	166
20131110	desktop	751
20131111	desktop	314
20131112	desktop	230
20131113	desktop	193
20131114	desktop	159
20131115	desktop	142
20131116	desktop	145
